"CaseNumber","OccurredOn","Offense","Offense_IBR_Code","Offense_IBR_CrimeAgainst","OffenseCompleted","LocationType","ReportingAgency","PostalCode","Division","Beat","ReportingArea","Municipality"
"24-0071271","2024 Nov 28 11:33:00 AM","Murder","09A","Person","true","Commercial/Office Building","Prince George's County Police","20706","I","B5","0238","PG COUNTY"
"24-0064589","2024 Oct 29 11:02:00 PM","Murder","09A","Person","true","Residence/Home","Prince George's County Police","20782","I","A5","0175","PG COUNTY"
"24-0055558","2024 Sep 19 08:46:00 PM","Murder","09A","Person","true","Highway/Road/Alley","Prince George's County Police","20785","I","B2","0255","PG COUNTY"
"25-0039482","2025 Jul 19 01:47:00 AM","Murder","09A","Person","true","Residence / Home","Prince George's County Police","20720","II","D3","0872","PG COUNTY"
"26-0000566","2026 Jan 04 07:20:00 AM","Murder","09A","Person","true","Highway / Road / Alley","Prince George's County Police","20774","II","E5","0703","PG COUNTY"
"25-0024901","2025 May 10 02:23:00 PM","Murder","09A","Person","true","Residence / Home","Prince George's County Police","20785","III","G4","0315","PG COUNTY"
"25-0036726","2025 Jul 06 12:57:17 AM","Murder","09A","Person","true","Parking Lot / Garage","Prince George's County Police","20785","III","G4","0314","PG COUNTY"
"26-0042005","2026 Aug 07 06:45:00 PM","Murder","09A","Person","true","Parking Lot / Garage","Prince George's County Police","20745","IV","J5","0656","PG COUNTY"
"24-0057511","2024 Sep 28 11:25:00 PM","Murder","09A","Person","true","Highway/Road/Alley","Prince George's County Police","20748","IV","K2","0502","PG COUNTY"
"25-0038249","2025 Jul 13 03:17:00 AM","Murder","09A","Person","true","Residence / Home","Prince George's County Police","20748","IV","K6","0513","PG COUNTY"
"24-0048425","2024 Aug 18 02:50:00 PM","Murder","09A","Person","true","Parking Lot/Garage","Prince George's County Police","20748","IV","K6","0615","PG COUNTY"
"24-0076998","2024 Dec 27 12:28:00 AM","Murder","09A","Person","true","Service / Gas Station","Prince George's County Police","20745","IV","J6","0604","PG COUNTY"
"25-0068654","2025 Dec 11 08:49:00 AM","Murder","09A","Person","true","Residence / Home","Prince George's County Police","20748","V","F1","0618","PG COUNTY"
"25-0052518","2025 Sep 20 10:46:00 PM","Murder","09A","Person","true","Residence / Home","Prince George's County Police","20708","VI","C5","0904","PG COUNTY"
"25-0006295","2025 Feb 05 12:16:00 AM","Murder","09A","Person","true","Residence / Home","Prince George's County Police","20607","VII","W2","0652","PG COUNTY"
"25-0028939","2025 May 29 10:00:00 AM","Murder","09A","Person","true","Field / Woods","Prince George's County Police","20744","VII","W1","0643","PG COUNTY"
"24-0072909","2024 Dec 06 09:22:00 PM","Murder","09A","Person","true","Parking Lot/Garage","Prince George's County Police","20747","VIII","H6","0424","PG COUNTY"
"25-0015073","2025 Mar 23 01:42:00 PM","Murder","09A","Person","true","Parking Lot / Garage","Prince George's County Police","20743","VIII","H1","0408","PG COUNTY"
"25-0052371","2025 Sep 19 09:00:00 PM","Rape","11A","Person","true","Residence / Home","Prince George's County Police","20737","I","B3","0232","PG COUNTY"
"24-0057284","2024 Sep 25 03:30:00 PM","Rape","11A","Person","true","Residence / Home","Prince George's County Police","20783","I","A6","0111","PG COUNTY"
"26-0040950","2026 Aug 02 02:26:00 AM","Rape","11A","Person","true","Residence / Home","Prince George's County Police","20783","I","A6","0118","PG COUNTY"
"25-0051404","2025 Aug 21 08:00:00 PM","Rape","11A","Person","true","Residence / Home","Prince George's County Police","20742","I","B63","0219","COLLEGE PARK"
"25-0038012","2025 Jul 10 08:00:41 PM","Rape","11A","Person","true","Residence / Home","Prince George's County Police","20783","I","A4","0110","PG COUNTY"
"25-0001151","2025 May 24 10:00:00 PM","Rape","11A","Person","true","Residence / Home","Greenbelt Police","20770","I","GB2","0207","GREENBELT"
"25-0014973","2025 Mar 22 09:00:25 AM","Rape","11A","Person","true","Residence / Home","Prince George's County Police","20782","I","A6","0114","PG COUNTY"
"24-0065614","2024 Nov 03 07:30:00 AM","Rape","11A","Person","true","Residence/Home","Bladensburg Police","20710","I","B28","0242","BLADENSBURG"
"26-0000519","2025 Dec 16 01:00:00 PM","Rape","11A","Person","true","Residence / Home","Hyattsville City Police","20782","I","A2","01282","HYATTSVILLE"
"25-0008595","2025 Feb 17 11:00:00 PM","Rape","11A","Person","true","Parking Lot / Garage","Bowie City Police","20715","II","D41","0892","BOWIE"
"26-0005292","2026 Jan 31 02:30:00 AM","Rape","11C","Person","true","Residence / Home","Prince George's County Police","20785","II","E2","0859","PG COUNTY"
"25-0024481","2025 May 01 12:00:00 AM","Rape","11A","Person","true","Field / Woods","Prince George's County Police","20774","II","E2","2221","PG COUNTY"
"26-0041275","2026 Aug 02 08:00:00 PM","Rape","11B","Person","true","Residence / Home","Prince George's County Police","20774","II","E2","2221","PG COUNTY"
"25-0053792","2025 Sep 21 09:45:23 PM","Rape","11C","Person","true","Residence / Home","Prince George's County Police","20769","II","D5","0828","PG COUNTY"
"26-0020115","2026 Apr 15 08:00:00 PM","Rape","11A","Person","true","Residence / Home","Prince George's County Police","20774","II","K2","0429","PG COUNTY"
"26-0014710","2026 Mar 21 09:00:00 AM","Rape","11A","Person","false","Hotel / Motel","Prince George's County Police","20774","II","E2","0858","PG COUNTY"
"25-0047944","2025 Aug 28 03:42:20 PM","Rape","11A","Person","true","Elementary / Secondary School","Prince George's County Police","20706","II","D1","0887","PG COUNTY"
"26-0007052","2026 Feb 10 10:41:00 PM","Murder","09A","Person","true","Industrial Site","Prince George's County Police","20781","I","B2","0243","PG COUNTY"
"26-0033985","2026 Jun 26 01:40:04 PM","Murder","09A","Person","true","Park / Playground","Prince George's County Police","20783","I","A7","","PG COUNTY"
"25-0052986","2025 Sep 23 01:50:58 PM","Murder","09A","Person","true","Field / Woods","Prince George's County Police","20721","II","E2","0859","PG COUNTY"
